Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
11,5,226,0.0,0.0,1.0,0.0,517.0,4396668.0
13,5,229,0.0,0.0,1.0,0.0,91.0,3634.0
30,6,230,0.0,0.0,1.0,0.0,121.0,31767.0
17,5,236,0.0,0.0,1.0,0.0,425.0,5599541.0
20,4,242,0.0,0.0,1.0,0.0,364.0,100355.0
20,4,243,0.0,0.0,1.0,0.0,578.0,1006613.0
17,5,244,0.0,0.0,1.0,0.0,395.0,2919516.0
17,5,246,0.0,0.0,1.0,0.0,425.0,3391331.0
5,5,260,0.0,0.0,1.0,0.0,152.0,3781.0
7,4,271,0.0,0.0,1.0,0.0,272.0,1645037.0
4,4,273,0.0,0.0,1.0,0.0,333.0,2586067.0
25,6,288,0.0,0.0,1.0,0.0,425.0,3698703.0
10,5,291,0.0,0.0,1.0,0.0,487.0,3941592.0
1,5,295,0.0,0.0,1.0,0.0,972.0,1409212.0
8,5,308,0.0,0.0,1.0,0.0,425.0,4061947.0
12,5,313,0.0,0.0,1.0,0.0,486.0,4467696.0
34,5,317,0.0,0.0,1.0,0.0,455.0,564158.0
5,4,322,0.0,0.0,1.0,0.0,305.0,2587321.0
8,5,328,0.0,0.0,1.0,0.0,395.0,2937511.0
17,5,330,0.0,0.0,1.0,0.0,455.0,619626.0
28,5,343,0.0,0.0,1.0,0.0,395.0,2040846.0
28,5,344,0.0,0.0,1.0,0.0,425.0,3806827.0
8,5,348,0.0,0.0,1.0,0.0,425.0,2404369.0
28,5,364,0.0,0.0,1.0,0.0,517.0,4152597.0
5,5,368,0.0,0.0,1.0,0.0,91.0,2201.0
13,4,387,0.0,0.0,1.0,0.0,305.0,2818504.0
13,4,394,0.0,0.0,1.0,0.0,333.0,1981438.0
13,5,396,0.0,0.0,1.0,0.0,152.0,3805.0
3,5,398,0.0,0.0,1.0,0.0,121.0,955.0
19,5,400,0.0,0.0,1.0,0.0,637.0,862148.0
3,5,403,0.0,0.0,1.0,0.0,486.0,3138517.0
27,5,435,0.0,0.0,1.0,0.0,578.0,5075874.0
10,4,1,0.0,0.0,1.0,0.0,303.0,3936891.0
22,4,3,0.0,0.0,1.0,0.0,243.0,4474006.0
16,4,9,0.0,0.0,1.0,0.0,303.0,3529512.0
4,4,10,0.0,0.0,1.0,0.0,303.0,4334092.0
4,4,12,0.0,0.0,1.0,0.0,272.0,270438.0
4,4,14,0.0,0.0,1.0,0.0,273.0,1678283.0
16,5,18,0.0,0.0,1.0,0.0,425.0,5203998.0
26,4,20,0.0,0.0,1.0,0.0,302.0,177162.0
16,5,22,0.0,0.0,1.0,0.0,122.0,5091193.0
5,4,23,0.0,0.0,1.0,0.0,272.0,2909465.0
34,4,27,0.0,0.0,1.0,0.0,302.0,4343201.0
35,4,29,0.0,0.0,1.0,0.0,243.0,4852932.0
14,4,36,0.0,0.0,1.0,0.0,274.0,2585411.0
23,4,39,0.0,0.0,1.0,0.0,334.0,3097097.0
4,5,41,0.0,0.0,1.0,0.0,426.0,656777.0
4,4,44,0.0,0.0,1.0,0.0,274.0,5377628.0
5,4,49,0.0,0.0,1.0,0.0,303.0,4874779.0
